task_id,case_unit_id,agent,released_label,native_verdict,native_reason,stronger_verdict,stronger_reason,label_agreement,native_S_stronger_F,record_level_conflict_status,structural_valid,error_count
full-miniwob-miniwob.click-test-2-agent_c,miniwob.click-test-2,agent_c,success,S,"Final retained validation shows success: done true, reward 1.0, and positive RAW_REWARD_GLOBAL on the task URL.",NA,The checklist defines no stronger additional conditions.,True,False,not_applicable_agreement,True,0
full-miniwob-miniwob.count-shape-agent_a,miniwob.count-shape,agent_a,success,S,"Retained validator output for this `miniwob.count-shape` run shows `done: true`, `reward: 1.0`, and positive `RAW_REWARD_GLOBAL`.",NA,Checklist defines no stronger additional conditions.,True,False,not_applicable_agreement,True,0
full-miniwob-miniwob.count-shape-agent_b,miniwob.count-shape,agent_b,fail,F,"Final validation for this `miniwob.count-shape` run shows validator reward `0.0` with negative oracle state, so the stored evidence supports native failure.",NA,The checklist defines no stronger additional conditions.,True,False,not_applicable_agreement,True,0
full-miniwob-miniwob.count-shape-agent_c,miniwob.count-shape,agent_c,fail,F,The retained final validator output for this `miniwob.count-shape` run shows `reward` 0.0 with `done` false and `RAW_REWARD_GLOBAL` 0.,NA,The checklist defines no stronger additional conditions.,True,False,not_applicable_agreement,True,0
full-miniwob-miniwob.drag-items-agent_a,miniwob.drag-items,agent_a,fail,F,Final released validation shows native failure: `reward` is 0.0 and `RAW_REWARD_GLOBAL` is -1 in the retained evaluator output.,NA,Checklist defines no stronger additional conditions.,True,False,not_applicable_agreement,True,0
full-miniwob-miniwob.drag-items-agent_b,miniwob.drag-items,agent_b,success,S,"Final validation returned done=true and reward=1.0, and the retained final task info shows RAW_REWARD_GLOBAL=1 on the drag-items page/url.",NA,Checklist has no stronger additional conditions.,True,False,not_applicable_agreement,True,0
full-miniwob-miniwob.drag-items-agent_c,miniwob.drag-items,agent_c,fail,F,"Final released validation returned reward 0.0, and the retained final task info shows RAW_REWARD_GLOBAL = -1.",NA,The checklist defines no stronger additional conditions for this case.,True,False,not_applicable_agreement,True,0
full-miniwob-miniwob.draw-circle-agent_a,miniwob.draw-circle,agent_a,fail,F,"Final validator shows a completed validation with done true, reward 0.0, and RAW_REWARD_GLOBAL -0.25.",F,"Native failure already makes the stronger measure fail; the retained final HTML also shows only a degenerate submitted path, not a complete circle.",True,False,not_applicable_agreement,True,0
full-miniwob-miniwob.draw-circle-agent_b,miniwob.draw-circle,agent_b,fail,F,Final native validation is completed with `done: true` but `reward: 0.0` and `RAW_REWARD_GLOBAL: -0.25`.,F,"Native evidence already fails, so the stronger measure also fails.",True,False,not_applicable_agreement,True,0
full-miniwob-miniwob.draw-circle-agent_c,miniwob.draw-circle,agent_c,fail,F,"The final validator shows a completed run with done true, reward 0.0, and RAW_REWARD_GLOBAL -1.",F,Native failure already makes the stronger verdict fail; the retained browser state also shows no drawn path before the submit click.,True,False,not_applicable_agreement,True,0
full-miniwob-miniwob.email-inbox-forward-agent_a,miniwob.email-inbox-forward,agent_a,fail,F,"Final native validation ended with done true, reward 0.0, and non-positive RAW_REWARD_GLOBAL.",F,Stronger fails automatically because native evidence already supports failure.,True,False,not_applicable_agreement,True,0
full-miniwob-miniwob.email-inbox-forward-agent_b,miniwob.email-inbox-forward,agent_b,fail,F,Final native validation completed with reward 0.0 and RAW_REWARD_GLOBAL -1.,F,"Native evidence already fails, so the stronger measure also fails.",True,False,not_applicable_agreement,True,0
full-miniwob-miniwob.email-inbox-forward-agent_c,miniwob.email-inbox-forward,agent_c,fail,F,Final native validation shows done true with reward 0.0 and RAW_REWARD_GLOBAL -1.,F,"Native already failed, and the retained terminal page shows the selected forwarded email was Jackie rather than the goal sender Renelle.",True,False,not_applicable_agreement,True,0
full-miniwob-miniwob.email-inbox-forward-nl-turk-agent_a,miniwob.email-inbox-forward-nl-turk,agent_a,fail,F,"Final validator completed with done=true but reward 0.0, and final task info has RAW_REWARD_GLOBAL=-1.",F,Native failure already forces stronger failure under the locked rule.,True,False,not_applicable_agreement,True,0
full-miniwob-miniwob.email-inbox-forward-nl-turk-agent_b,miniwob.email-inbox-forward-nl-turk,agent_b,fail,F,"Final released-validator output is a completed record with `done: true` and binary `reward: 0.0`, with final task info also showing `RAW_REWARD_GLOBAL: -1`.",F,The stronger measure fails because native evidence already fails.,True,False,not_applicable_agreement,True,0
full-miniwob-miniwob.email-inbox-forward-nl-turk-agent_c,miniwob.email-inbox-forward-nl-turk,agent_c,fail,F,"The released validator completed with reward 0.0, and the retained final task info shows DONE_GLOBAL true with RAW_REWARD_GLOBAL -1.",F,The stronger verdict inherits native failure under the locked stronger rule.,True,False,not_applicable_agreement,True,0
full-miniwob-miniwob.email-inbox-star-reply-agent_a,miniwob.email-inbox-star-reply,agent_a,fail,F,"Final validator output is done true with reward 0.0, grounded in RAW_REWARD_GLOBAL -1.",NA,The checklist defines no stronger additional conditions.,True,False,not_applicable_agreement,True,0
full-miniwob-miniwob.email-inbox-star-reply-agent_b,miniwob.email-inbox-star-reply,agent_b,fail,F,Final validator output shows a non-positive native outcome: reward 0.0 with RAW_REWARD_GLOBAL -1.,NA,Checklist has no stronger additional conditions.,True,False,not_applicable_agreement,True,0
full-miniwob-miniwob.email-inbox-star-reply-agent_c,miniwob.email-inbox-star-reply,agent_c,fail,F,"The retained validator output shows a completed native evaluation with `done: true` but binary `reward: 0.0`, grounded in `RAW_REWARD_GLOBAL: -1` (`timed out`).",NA,The checklist defines no stronger additional conditions.,True,False,not_applicable_agreement,True,0
full-miniwob-miniwob.enter-text-2-agent_a,miniwob.enter-text-2,agent_a,success,S,"Released validator returned done true and reward 1.0 with RAW_REWARD_GLOBAL 1, and the final URL matches the issued task URL.",NA,Checklist has no stronger additional conditions.,True,False,not_applicable_agreement,True,0
full-miniwob-miniwob.enter-text-2-agent_b,miniwob.enter-text-2,agent_b,success,S,Final native validation returned `done: true` and `reward: 1.0` with `RAW_REWARD_GLOBAL: 1` on the task page URL.,NA,The checklist defines no stronger additional conditions.,True,False,not_applicable_agreement,True,0
full-miniwob-miniwob.enter-text-2-agent_c,miniwob.enter-text-2,agent_c,success,S,"Released native validation shows success: done true, reward 1.0, and RAW_REWARD_GLOBAL 1 on the task URL.",NA,The checklist defines no stronger additional conditions.,True,False,not_applicable_agreement,True,0
full-miniwob-miniwob.enter-time-agent_a,miniwob.enter-time,agent_a,success,S,"Final validator output shows `done: true` with `reward: 1.0`, and the retained final task state shows `RAW_REWARD_GLOBAL: 1`.",NA,The checklist defines no stronger additional conditions for this case.,True,False,not_applicable_agreement,True,0
full-miniwob-miniwob.enter-time-agent_b,miniwob.enter-time,agent_b,success,S,"Final validation returned `done: true` and `reward: 1.0` on the same task URL, with `RAW_REWARD_GLOBAL` equal to 1.",NA,The checklist defines no stronger additional conditions.,True,False,not_applicable_agreement,True,0
full-miniwob-miniwob.enter-time-agent_c,miniwob.enter-time,agent_c,success,S,"Final validation returned `done: true` with reward `1.0`, the run remained on the original MiniWoB URL, and the retained final state shows `RAW_REWARD_GLOBAL` 1.",NA,The checklist defines no stronger additional conditions.,True,False,not_applicable_agreement,True,0
full-miniwob-miniwob.focus-text-2-agent_a,miniwob.focus-text-2,agent_a,success,S,"Final validator output shows `done` true with reward `1.0`, and the retained final WOB state has positive raw reward.",NA,Checklist has no stronger additional conditions.,True,False,not_applicable_agreement,True,0
full-miniwob-miniwob.focus-text-2-agent_b,miniwob.focus-text-2,agent_b,success,S,"Final retained validation is done with reward 1.0, and the retained final task info shows positive RAW_REWARD_GLOBAL.",NA,Checklist defines no stronger additional conditions.,True,False,not_applicable_agreement,True,0
full-miniwob-miniwob.focus-text-2-agent_c,miniwob.focus-text-2,agent_c,success,S,"Final native validation is done=true with reward 1.0 and no error message, and the retained final WOB state shows RAW_REWARD_GLOBAL=1.",NA,The checklist defines no stronger additional conditions.,True,False,not_applicable_agreement,True,0
full-miniwob-miniwob.generate-number-agent_a,miniwob.generate-number,agent_a,success,S,"Final validation shows no invalid page or URL error, done true, and binary reward 1.0 from positive RAW_REWARD_GLOBAL.",S,"Native success is supported, and the retained artifacts show Generate was used before Submit and the displayed number 5 satisfied the retained less-than-7 requirement.",True,False,not_applicable_agreement,True,0
full-miniwob-miniwob.generate-number-agent_b,miniwob.generate-number,agent_b,success,S,"Final validation shows no error message, `done: true`, and binary reward `1.0` from positive `RAW_REWARD_GLOBAL`.",S,"The episode goal was to generate a number less than 7; the run clicked Generate before Submit, the displayed number changed from `-` to `4`, and the final reward was positive.",True,False,not_applicable_agreement,True,0
full-miniwob-miniwob.generate-number-agent_c,miniwob.generate-number,agent_c,success,S,"Final validation succeeded with `done: true`, `reward: 1.0`, and positive `RAW_REWARD_GLOBAL`, and the final observation stayed on the task URL.",S,"Native success is supported, and retained artifacts show Generate was clicked before Submit; the displayed number changed from `-` to `4`, which satisfies the episode requirement `less than 7`.",True,False,not_applicable_agreement,True,0
full-miniwob-miniwob.odd-or-even-agent_a,miniwob.odd-or-even,agent_a,success,S,"Final validator output shows `done: true`, binary `reward: 1.0`, and positive `RAW_REWARD_GLOBAL`.",F,"Native succeeds, but the retained validator output shows only partial raw credit rather than full credit for all classifications.",True,True,not_applicable_agreement,True,0
full-miniwob-miniwob.odd-or-even-agent_b,miniwob.odd-or-even,agent_b,fail,F,The final validator result is `done: true` with binary `reward: 0.0` and `RAW_REWARD_GLOBAL: -1`.,F,"Native failed, so the stronger measure also fails.",True,False,not_applicable_agreement,True,0
full-miniwob-miniwob.odd-or-even-agent_c,miniwob.odd-or-even,agent_c,fail,F,"Final validator output shows a completed non-successful outcome: `done` is false, `reward` is 0.0, and `RAW_REWARD_GLOBAL` is 0.",F,"Native evidence already fails, and the retained final state also contradicts the requirement that every displayed number was classified correctly.",True,False,not_applicable_agreement,True,0
full-miniwob-miniwob.terminal-agent_a,miniwob.terminal,agent_a,fail,F,"The completed 30-step record ended with final validation `done: false`, `reward: 0.0`, and `RAW_REWARD_GLOBAL: 0` on the task URL.",F,The stronger measure fails because native evidence already supports failure.,True,False,not_applicable_agreement,True,0
full-miniwob-miniwob.terminal-agent_b,miniwob.terminal,agent_b,fail,F,"Completed run on the terminal task ended with final validation `done: false`, `reward: 0.0`, and `RAW_REWARD_GLOBAL: 0`.",F,The stronger measure fails because native evidence already supports failure.,True,False,not_applicable_agreement,True,0
full-miniwob-miniwob.terminal-agent_c,miniwob.terminal,agent_c,fail,F,The completed 30-step record ended on the valid terminal URL with final validation `done` false and `reward` 0.0.,F,Native failure makes the stronger verdict fail as well.,True,False,not_applicable_agreement,True,0
full-miniwob-miniwob.use-autocomplete-agent_a,miniwob.use-autocomplete,agent_a,success,S,"Final validation shows done true, reward 1.0, and RAW_REWARD_GLOBAL 1.",NA,Checklist has no stronger additional conditions.,True,False,not_applicable_agreement,True,0
full-miniwob-miniwob.use-autocomplete-agent_b,miniwob.use-autocomplete,agent_b,success,S,"Final validator evidence shows a completed validation with `done` true, binary `reward` 1.0, and positive `RAW_REWARD_GLOBAL`.",NA,The checklist defines no stronger additional conditions.,True,False,not_applicable_agreement,True,0
full-miniwob-miniwob.use-autocomplete-agent_c,miniwob.use-autocomplete,agent_c,success,S,"Final validator evidence shows a completed run with done true, reward 1.0, and positive RAW_REWARD_GLOBAL.",NA,The checklist defines no stronger additional conditions.,True,False,not_applicable_agreement,True,0
full-miniwob-miniwob.use-colorwheel-2-agent_a,miniwob.use-colorwheel-2,agent_a,success,S,"Final validation shows `done: true`, `reward: 1.0`, `RAW_REWARD_GLOBAL: 1`, no validation error message, and the final step remained on the task URL.",S,"The retained evidence shows the target color was `#a8f8d7`, the submitted input was `A8F8D7`, and the evaluator recorded `RAW_REWARD_GLOBAL: 1`.",True,False,not_applicable_agreement,True,0
full-miniwob-miniwob.use-colorwheel-2-agent_b,miniwob.use-colorwheel-2,agent_b,success,S,"Final validation returned no error message, `done: true`, `reward: 1.0`, and positive `RAW_REWARD_GLOBAL`.",S,"The target color was `#a8f8d7`, the agent filled `a8f8d7`, and final `RAW_REWARD_GLOBAL` was exactly `1`.",True,False,not_applicable_agreement,True,0
full-miniwob-miniwob.use-colorwheel-2-agent_c,miniwob.use-colorwheel-2,agent_c,success,S,"Final validation returned `done: true`, `reward: 1.0`, positive `RAW_REWARD_GLOBAL`, and no validation error message.",S,"The runtime target and submitted color both are `#a8f8d7`, and the final `RAW_REWARD_GLOBAL` is exactly 1.",True,False,not_applicable_agreement,True,0
full-miniwob-miniwob.use-slider-agent_a,miniwob.use-slider,agent_a,fail,F,"Final native evaluator record is terminal and returns reward 0.0 with RAW_REWARD_GLOBAL -1, which matches the checklist's native failure condition.",NA,The checklist defines no stronger additional conditions for this case.,True,False,not_applicable_agreement,True,0
full-miniwob-miniwob.use-slider-agent_b,miniwob.use-slider,agent_b,fail,F,"Final validator shows a completed record with reward 0.0, so native success was not reached.",NA,The checklist has no stronger additional conditions.,True,False,not_applicable_agreement,True,0
full-miniwob-miniwob.use-slider-agent_c,miniwob.use-slider,agent_c,fail,F,"Final native evaluator output records reward 0.0 with done false, so native success was not reached.",NA,Checklist defines no stronger additional conditions.,True,False,not_applicable_agreement,True,0
