benchmark,case_unit_id,agent_id,layer,trigger,released_label,native_verdict,stronger_verdict,human_audit_label,recommended_action,adjudication_status,final_native_verdict,final_stronger_verdict,evidence_summary,source_paths
miniwob,miniwob.simple-arithmetic,Agent C,native,native_unknown_released_fail,fail,U,NA,SCORER_UNKNOWN_TOO_STRICT,"Relabel native F; report_infeasible after task start is an agent failure.",corrected,F,NA,"The agent asks the user for the expression and then reports infeasible; native reward remains 0.","run_summary.json; task_artifacts/task_info_final.json; trajectory/steps.json"
miniwob,miniwob.social-media,Agent C,native,native_unknown_released_fail,fail,U,NA,SCORER_UNKNOWN_TOO_STRICT,"Relabel native F; report_infeasible after task start is an agent failure.",corrected,F,NA,"The agent reports it cannot identify the Retweet button and receives native reward 0.","run_summary.json; task_artifacts/task_info_final.json; trajectory/steps.json"
miniwob,miniwob.find-greatest,Agent A,native,released_success_native_false_success,success,S,F,BENCHMARK_OR_EVALUATOR_FALSE_SUCCESS,"Relabel native F; retained DOM contradicts the greatest-card claim.",corrected,F,F,"The selected revealed card is 2 while another card shows 7; native reward nevertheless reports success.","browser_artifacts/page_html/step_000_reset.html; step_001.html; step_002.html; official find-greatest.html"
miniwob,miniwob.find-greatest,Agent B,native,released_success_native_false_success,success,S,F,BENCHMARK_OR_EVALUATOR_FALSE_SUCCESS,"Relabel native F; retained DOM contradicts the greatest-card claim.",corrected,F,F,"The selected revealed card is 4 while another card shows 7; native reward nevertheless reports success.","browser_artifacts/page_html/step_003.html; official find-greatest.html"
miniwob,miniwob.bisect-angle,Agent A,stronger,native_S_stronger_F,success,S,F,SCORER_TOO_STRICT_STRONGER,"Drop or revise the exact-geometry stronger condition; keep native S.",corrected,S,NA,"The native reward succeeds under MiniWoB tolerance; requiring exact visual bisection overstates the benchmark-native claim.",browser_artifacts/page_html/step_002.html
miniwob,miniwob.bisect-angle,Agent B,stronger,native_S_stronger_F,success,S,F,SCORER_TOO_STRICT_STRONGER,"Drop or revise the exact-geometry stronger condition; keep native S.",corrected,S,NA,"The native reward succeeds under MiniWoB tolerance; requiring exact visual bisection overstates the benchmark-native claim.",browser_artifacts/page_html/step_005.html
miniwob,miniwob.circle-center,Agent A,stronger,native_S_stronger_F,success,S,F,SCORER_TOO_STRICT_STRONGER,"Drop or revise the exact-geometry stronger condition; keep native S.",corrected,S,NA,"The native reward succeeds under MiniWoB tolerance; requiring exact circle-center coordinates is too strict.",browser_artifacts/page_html/step_002.html
miniwob,miniwob.circle-center,Agent B,stronger,native_S_stronger_F,success,S,F,SCORER_TOO_STRICT_STRONGER,"Drop or revise the exact-geometry stronger condition; keep native S.",corrected,S,NA,"The native reward succeeds under MiniWoB tolerance; requiring exact circle-center coordinates is too strict.",browser_artifacts/page_html/step_002.html
miniwob,miniwob.circle-center,Agent C,stronger,native_S_stronger_F,success,S,F,SCORER_TOO_STRICT_STRONGER,"Drop or revise the exact-geometry stronger condition; keep native S.",corrected,S,NA,"The native reward succeeds under MiniWoB tolerance; requiring exact circle-center coordinates is too strict.",browser_artifacts/page_html/step_002.html
miniwob,miniwob.find-midpoint,Agent A,stronger,native_S_stronger_F,success,S,F,SCORER_TOO_STRICT_STRONGER,"Drop or revise the exact-geometry stronger condition; keep native S.",corrected,S,NA,"The native reward succeeds under MiniWoB tolerance; requiring exact midpoint coordinates is too strict.",browser_artifacts/page_html/step_002.html
miniwob,miniwob.find-midpoint,Agent B,stronger,native_S_stronger_F,success,S,F,SCORER_TOO_STRICT_STRONGER,"Drop or revise the exact-geometry stronger condition; keep native S.",corrected,S,NA,"The native reward succeeds under MiniWoB tolerance; requiring exact midpoint coordinates is too strict.",browser_artifacts/page_html/step_003.html
miniwob,miniwob.click-tab-2-medium,Agent A,stronger,native_S_stronger_F,success,S,F,STRONGER_ONLY_TASK_ORACLE_MISMATCH,"Keep native S and stronger F; use as task/oracle blind spot.",accepted,S,F,"The official task asks to switch tabs to find a link, but the generator empties Tab 2 and rewards clicking the tab itself when the link is absent.",official click-tab-2-medium.html; browser_artifacts/page_html/step_000_reset.html; trajectory/steps.json
miniwob,miniwob.click-tab-2-medium,Agent B,stronger,native_S_stronger_F,success,S,F,STRONGER_ONLY_TASK_ORACLE_MISMATCH,"Keep native S and stronger F; use as task/oracle blind spot.",accepted,S,F,"The official task asks to switch tabs to find a link, but the generator empties Tab 2 and rewards clicking the tab itself when the link is absent.",official click-tab-2-medium.html; browser_artifacts/page_html/step_000_reset.html; trajectory/steps.json
miniwob,miniwob.click-tab-2-medium,Agent C,stronger,native_S_stronger_F,success,S,F,STRONGER_ONLY_TASK_ORACLE_MISMATCH,"Keep native S and stronger F; use as task/oracle blind spot.",accepted,S,F,"The official task asks to switch tabs to find a link, but the generator empties Tab 2 and rewards clicking the tab itself when the link is absent.",official click-tab-2-medium.html; browser_artifacts/page_html/step_000_reset.html; trajectory/steps.json
miniwob,miniwob.copy-paste,Agent A,stronger,native_S_stronger_F,success,S,F,STRONGER_ONLY_INTERACTION_SHORTCUT,"Keep native S and stronger F; native reward checks final text, not copy/paste behavior.",accepted,S,F,"The trace directly fills the answer textbox and submits without copying from the source textarea.",trajectory/steps.json; browser_artifacts/page_html/step_001.html
miniwob,miniwob.copy-paste,Agent B,stronger,native_S_stronger_F,success,S,F,STRONGER_ONLY_INTERACTION_SHORTCUT,"Keep native S and stronger F; native reward checks final text, not copy/paste behavior.",accepted,S,F,"The trace directly fills the answer textbox and submits without copying from the source textarea.",trajectory/steps.json; browser_artifacts/page_html/step_001.html
miniwob,miniwob.copy-paste,Agent C,stronger,native_S_stronger_F,success,S,F,STRONGER_ONLY_INTERACTION_SHORTCUT,"Keep native S and stronger F; native reward checks final text, not copy/paste behavior.",accepted,S,F,"The trace first fills the answer textbox, then copies in the reverse direction, rather than copying from textarea to textbox.",trajectory/steps.json; browser_artifacts/page_html/step_001.html
miniwob,miniwob.copy-paste-2,Agent B,stronger,native_S_stronger_F,success,S,F,STRONGER_ONLY_INTERACTION_SHORTCUT,"Keep native S and stronger F; native reward checks final text, not paste behavior.",accepted,S,F,"The trace uses fill on the answer input rather than a paste operation from the third textarea.",trajectory/steps.json
miniwob,miniwob.scroll-text,Agent A,stronger,native_S_stronger_F,success,S,F,STRONGER_ONLY_INTERACTION_SHORTCUT,"Keep native S and stronger F; native reward checks answer text, not scrolling behavior.",accepted,S,F,"The trace fills the answer and submits without any textarea scroll action.",trajectory/steps.json
miniwob,miniwob.scroll-text,Agent B,stronger,native_S_stronger_F,success,S,F,STRONGER_ONLY_INTERACTION_SHORTCUT,"Keep native S and stronger F; native reward checks answer text, not scrolling behavior.",accepted,S,F,"The trace fills the answer and submits without any textarea scroll action.",trajectory/steps.json
miniwob,miniwob.scroll-text,Agent C,stronger,native_S_stronger_F,success,S,F,STRONGER_ONLY_INTERACTION_SHORTCUT,"Keep native S and stronger F; native reward checks answer text, not scrolling behavior.",accepted,S,F,"The trace fills the answer and submits without any textarea scroll action.",trajectory/steps.json
miniwob,miniwob.use-colorwheel,Agent A,stronger,native_S_stronger_U,success,S,U,STRONGER_ONLY_ACTION_SHORTCUT,"Relabel stronger F; submitting the default picker value is not using the color picker to select red.",corrected,S,F,"The retained HTML shows the submitted value remains AB2567 while the goal asks for red; native success follows MiniWoB's positive similarity threshold.",browser_artifacts/page_html/step_001.html; official use-colorwheel.html
miniwob,miniwob.use-colorwheel,Agent B,stronger,native_S_stronger_F,success,S,F,STRONGER_ONLY_ACTION_SHORTCUT,"Keep stronger F but revise rationale: the issue is direct fill of the underlying input, not wrong hex.",accepted,S,F,"The trace fills FF0000 directly into the hidden color input and submits, bypassing the widget interaction requested by the task.",trajectory/steps.json; browser_artifacts/page_html/step_002.html; official use-colorwheel.html
miniwob,miniwob.use-colorwheel,Agent C,stronger,native_S_stronger_F,success,S,F,STRONGER_ONLY_ACTION_SHORTCUT,"Keep stronger F but revise rationale: the issue is direct fill of the underlying input, not wrong hex.",accepted,S,F,"The trace fills FF0000 directly into the hidden color input and submits, bypassing the widget interaction requested by the task.",trajectory/steps.json; browser_artifacts/page_html/step_002.html; official use-colorwheel.html
miniwob,miniwob.click-checkboxes-large,Agent B,stronger,native_S_stronger_F,success,S,F,STRONGER_ONLY_WEAK_NATIVE_REWARD,"Keep native S and stronger F; official reward is positive despite one missed requested checkbox.",accepted,S,F,"The requested label wh remains unchecked, but the native reward is positive because the official checker rewards majority agreement.",official click-checkboxes-large.html; browser_artifacts/page_html/step_007.html
miniwob,miniwob.stock-market,Agent A,stronger,native_S_stronger_U,success,S,U,STRONGER_ONLY_TEMPORAL_EVIDENCE_GAP,"Keep native S and stronger U; retained snapshots bracket but do not pin the exact click-time price.",accepted,S,U,"The price is above threshold before the successful Buy click and below threshold in the next retained observation; the exact click-time display is not independently retained.",official stock-market.html; trajectory/observations/step_001.json; trajectory/observations/step_002.json
