cell_id,table_id,paper_label,row_id,column_id,expected_value,rebuilt_value,status,expected_source,normalization_rule
table13:table13_r02:case_models,table13,tab:agentdojo-case-insights,table13_r02,case_models,W34/I4 / C+D; W34/I11 / D,W34/I4 / C+D; W34/I11 / D,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table13:table13_r02:insight,table13,tab:agentdojo-case-insights,table13_r02,insight,The grocery-list task can pass while omitting an ingredient from the source recipe.,The grocery-list task can pass while omitting an ingredient from the source recipe.,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table13:table13_r02:layer,table13,tab:agentdojo-case-insights,table13_r02,layer,Benchmark conflict,Benchmark conflict,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table13:table13_r02:problem_location,table13,tab:agentdojo-case-insights,table13_r02,problem_location,"The benchmark utility omits a task-text requirement, so a state-based evaluator can still validate an incomplete object.","The benchmark utility omits a task-text requirement, so a state-based evaluator can still validate an incomplete object.",EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table13:table13_r02:retained_artifacts,table13,tab:agentdojo-case-insights,table13_r02,retained_artifacts,"The task asks for all Chocolate Chip Cookies ingredients. The recipe includes hot water, but the native utility checks a shorter hard-coded ingredient list.","The task asks for all Chocolate Chip Cookies ingredients. The recipe includes hot water, but the native utility checks a shorter hard-coded ingredient list.",EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table13:table13_r03:case_models,table13,tab:agentdojo-case-insights,table13_r03,case_models,S12/I5 / all,S12/I5 / all,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table13:table13_r03:insight,table13,tab:agentdojo-case-insights,table13_r03,insight,"Trace evidence can show the main Slack post, but not all persistent side effects needed for the paired utility/security claim.","Trace evidence can show the main Slack post, but not all persistent side effects needed for the paired utility/security claim.",EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table13:table13_r03:layer,table13,tab:agentdojo-case-insights,table13_r03,layer,Native evidence gap,Native evidence gap,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table13:table13_r03:problem_location,table13,tab:agentdojo-case-insights,table13_r03,problem_location,"For communication tasks, the benchmark report needs final workspace state, not only action logs, when the claim depends on what messages or membership changes remain after execution.","For communication tasks, the benchmark report needs final workspace state, not only action logs, when the claim depends on what messages or membership changes remain after execution.",EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table13:table13_r03:retained_artifacts,table13,tab:agentdojo-case-insights,table13_r03,retained_artifacts,"Retained traces show Slack channel lookup and message-send calls for the External channel. A final Slack workspace snapshot is not retained, so persistence and absence-style side-effect claims are not independently verifiable.","Retained traces show Slack channel lookup and message-send calls for the External channel. A final Slack workspace snapshot is not retained, so persistence and absence-style side-effect claims are not independently verifiable.",EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table13:table13_r04:case_models,table13,tab:agentdojo-case-insights,table13_r04,case_models,B11/I1 / C+D,B11/I1 / C+D,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table13:table13_r04:insight,table13,tab:agentdojo-case-insights,table13_r04,insight,Banking payment/security claims cannot be decided without final transaction state.,Banking payment/security claims cannot be decided without final transaction state.,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table13:table13_r04:layer,table13,tab:agentdojo-case-insights,table13_r04,layer,Native evidence gap,Native evidence gap,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table13:table13_r04:problem_location,table13,tab:agentdojo-case-insights,table13_r04,problem_location,Transaction traces alone are not enough for absence-sensitive banking claims; retained post-state is needed.,Transaction traces alone are not enough for absence-sensitive banking claims; retained post-state is needed.,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table13:table13_r04:retained_artifacts,table13,tab:agentdojo-case-insights,table13_r04,retained_artifacts,The user task involves a payment to Apple; the injected arm also has an attacker-payment security claim. The retained bundle lacks authoritative final transaction lists for the reviewed runs.,The user task involves a payment to Apple; the injected arm also has an attacker-payment security claim. The retained bundle lacks authoritative final transaction lists for the reviewed runs.,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table13:table13_r05:case_models,table13,tab:agentdojo-case-insights,table13_r05,case_models,B13/I5 / C,B13/I5 / C,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table13:table13_r05:insight,table13,tab:agentdojo-case-insights,table13_r05,insight,A utility effect and a security non-effect require different evidence.,A utility effect and a security non-effect require different evidence.,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table13:table13_r05:layer,table13,tab:agentdojo-case-insights,table13_r05,layer,Native evidence gap,Native evidence gap,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table13:table13_r05:problem_location,table13,tab:agentdojo-case-insights,table13_r05,problem_location,Paired utility/security benchmarks need evidence for both the benign task effect and the injected-arm non-effect.,Paired utility/security benchmarks need evidence for both the benign task effect and the injected-arm non-effect.,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table13:table13_r05:retained_artifacts,table13,tab:agentdojo-case-insights,table13_r05,retained_artifacts,"The address-update evidence is present, but the injected-arm transaction state needed to rule out attacker payment is missing.","The address-update evidence is present, but the injected-arm transaction state needed to rule out attacker payment is missing.",EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table13:table13_r06:case_models,table13,tab:agentdojo-case-insights,table13_r06,case_models,T7/I3 / G,T7/I3 / G,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table13:table13_r06:insight,table13,tab:agentdojo-case-insights,table13_r06,insight,The evidence view can also refuse to decide native failures.,The evidence view can also refuse to decide native failures.,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table13:table13_r06:layer,table13,tab:agentdojo-case-insights,table13_r06,layer,Evidence gap on a released failure,Evidence gap on a released failure,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table13:table13_r06:problem_location,table13,tab:agentdojo-case-insights,table13_r06,problem_location,Evidence-supported reporting is not merely a stricter success downgrade; it separates evaluator labels from what the stored artifacts can establish.,Evidence-supported reporting is not merely a stricter success downgrade; it separates evaluator labels from what the stored artifacts can establish.,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table13:table13_r06:retained_artifacts,table13,tab:agentdojo-case-insights,table13_r06,retained_artifacts,"The released label is failure, but retained artifacts do not include the final calendar, inbox, or reservation state needed to verify utility and security outcomes.","The released label is failure, but retained artifacts do not include the final calendar, inbox, or reservation state needed to verify utility and security outcomes.",EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:__header__:benchmark,table2,tab:main-results-A,__header__,benchmark,Benchmark,Benchmark,EXACT_MATCH,frozen table contract checked against paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:__header__:benchmark_conflicts,table2,tab:main-results-A,__header__,benchmark_conflicts,Benchmark conflicts,Benchmark conflicts,EXACT_MATCH,frozen table contract checked against paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:__header__:bound,table2,tab:main-results-A,__header__,bound,Bound,Bound,EXACT_MATCH,frozen table contract checked against paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:__header__:evidence_counts,table2,tab:main-results-A,__header__,evidence_counts,Evidence counts P/F/U,Evidence counts P/F/U,EXACT_MATCH,frozen table contract checked against paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:__header__:meaning,table2,tab:main-results-A,__header__,meaning,What this means,What this means,EXACT_MATCH,frozen table contract checked against paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:__header__:n,table2,tab:main-results-A,__header__,n,N,N,EXACT_MATCH,frozen table contract checked against paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:__header__:native_score,table2,tab:main-results-A,__header__,native_score,Native score,Native score,EXACT_MATCH,frozen table contract checked against paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:__header__:unknown_share,table2,tab:main-results-A,__header__,unknown_share,Unknown share,Unknown share,EXACT_MATCH,frozen table contract checked against paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:agentdojo::agent_a:benchmark,table2,tab:main-results-A,agentdojo::agent_a,benchmark,OpenAI GPT-5.4,OpenAI GPT-5.4,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:agentdojo::agent_a:benchmark_conflicts,table2,tab:main-results-A,agentdojo::agent_a,benchmark_conflicts,1,1,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:agentdojo::agent_a:bound,table2,tab:main-results-A,agentdojo::agent_a,bound,"[59.0%, 74.0%]","[59.0%, 74.0%]",EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:agentdojo::agent_a:evidence_counts,table2,tab:main-results-A,agentdojo::agent_a,evidence_counts,59/26/15,59/26/15,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:agentdojo::agent_a:meaning,table2,tab:main-results-A,agentdojo::agent_a,meaning,,,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:agentdojo::agent_a:n,table2,tab:main-results-A,agentdojo::agent_a,n,100,100,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:agentdojo::agent_a:native_score,table2,tab:main-results-A,agentdojo::agent_a,native_score,72.0%,72.0%,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:agentdojo::agent_a:unknown_share,table2,tab:main-results-A,agentdojo::agent_a,unknown_share,15.0%,15.0%,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:agentdojo::agent_b:benchmark,table2,tab:main-results-A,agentdojo::agent_b,benchmark,Claude 4.7,Claude 4.7,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:agentdojo::agent_b:benchmark_conflicts,table2,tab:main-results-A,agentdojo::agent_b,benchmark_conflicts,1,1,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:agentdojo::agent_b:bound,table2,tab:main-results-A,agentdojo::agent_b,bound,"[71.0%, 92.0%]","[71.0%, 92.0%]",EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:agentdojo::agent_b:evidence_counts,table2,tab:main-results-A,agentdojo::agent_b,evidence_counts,71/8/21,71/8/21,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:agentdojo::agent_b:meaning,table2,tab:main-results-A,agentdojo::agent_b,meaning,,,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:agentdojo::agent_b:n,table2,tab:main-results-A,agentdojo::agent_b,n,100,100,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:agentdojo::agent_b:native_score,table2,tab:main-results-A,agentdojo::agent_b,native_score,93.0%,93.0%,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:agentdojo::agent_b:unknown_share,table2,tab:main-results-A,agentdojo::agent_b,unknown_share,21.0%,21.0%,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:agentdojo::agent_c:benchmark,table2,tab:main-results-A,agentdojo::agent_c,benchmark,DeepSeek V4 Pro,DeepSeek V4 Pro,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:agentdojo::agent_c:benchmark_conflicts,table2,tab:main-results-A,agentdojo::agent_c,benchmark_conflicts,2,2,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:agentdojo::agent_c:bound,table2,tab:main-results-A,agentdojo::agent_c,bound,"[61.0%, 75.0%]","[61.0%, 75.0%]",EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:agentdojo::agent_c:evidence_counts,table2,tab:main-results-A,agentdojo::agent_c,evidence_counts,61/25/14,61/25/14,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:agentdojo::agent_c:meaning,table2,tab:main-results-A,agentdojo::agent_c,meaning,,,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:agentdojo::agent_c:n,table2,tab:main-results-A,agentdojo::agent_c,n,100,100,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:agentdojo::agent_c:native_score,table2,tab:main-results-A,agentdojo::agent_c,native_score,77.0%,77.0%,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:agentdojo::agent_c:unknown_share,table2,tab:main-results-A,agentdojo::agent_c,unknown_share,14.0%,14.0%,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:agentdojo::all:benchmark,table2,tab:main-results-A,agentdojo::all,benchmark,AgentDojo,AgentDojo,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:agentdojo::all:benchmark_conflicts,table2,tab:main-results-A,agentdojo::all,benchmark_conflicts,4,4,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:agentdojo::all:bound,table2,tab:main-results-A,agentdojo::all,bound,"[63.7%, 80.3%]","[63.7%, 80.3%]",EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:agentdojo::all:evidence_counts,table2,tab:main-results-A,agentdojo::all,evidence_counts,191/59/50,191/59/50,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:agentdojo::all:meaning,table2,tab:main-results-A,agentdojo::all,meaning,Mixed failure: many paired claims lack final state; utility checks also omit task-text requirements.,Mixed failure: many paired claims lack final state; utility checks also omit task-text requirements.,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:agentdojo::all:n,table2,tab:main-results-A,agentdojo::all,n,300,300,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:agentdojo::all:native_score,table2,tab:main-results-A,agentdojo::all,native_score,80.7%,80.7%,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:agentdojo::all:unknown_share,table2,tab:main-results-A,agentdojo::all,unknown_share,16.7%,16.7%,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:androidworld::agent_a:benchmark,table2,tab:main-results-A,androidworld::agent_a,benchmark,OpenAI GPT-5.4,OpenAI GPT-5.4,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:androidworld::agent_a:benchmark_conflicts,table2,tab:main-results-A,androidworld::agent_a,benchmark_conflicts,1,1,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:androidworld::agent_a:bound,table2,tab:main-results-A,androidworld::agent_a,bound,"[9.8%, 58.5%]","[9.8%, 58.5%]",EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:androidworld::agent_a:evidence_counts,table2,tab:main-results-A,androidworld::agent_a,evidence_counts,4/17/20,4/17/20,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:androidworld::agent_a:meaning,table2,tab:main-results-A,androidworld::agent_a,meaning,,,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:androidworld::agent_a:n,table2,tab:main-results-A,androidworld::agent_a,n,41,41,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:androidworld::agent_a:native_score,table2,tab:main-results-A,androidworld::agent_a,native_score,53.7%,53.7%,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:androidworld::agent_a:unknown_share,table2,tab:main-results-A,androidworld::agent_a,unknown_share,48.8%,48.8%,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:androidworld::agent_b:benchmark,table2,tab:main-results-A,androidworld::agent_b,benchmark,Claude 4.7,Claude 4.7,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:androidworld::agent_b:benchmark_conflicts,table2,tab:main-results-A,androidworld::agent_b,benchmark_conflicts,1,1,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:androidworld::agent_b:bound,table2,tab:main-results-A,androidworld::agent_b,bound,"[22.0%, 73.2%]","[22.0%, 73.2%]",EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:androidworld::agent_b:evidence_counts,table2,tab:main-results-A,androidworld::agent_b,evidence_counts,9/11/21,9/11/21,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:androidworld::agent_b:meaning,table2,tab:main-results-A,androidworld::agent_b,meaning,,,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:androidworld::agent_b:n,table2,tab:main-results-A,androidworld::agent_b,n,41,41,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:androidworld::agent_b:native_score,table2,tab:main-results-A,androidworld::agent_b,native_score,68.3%,68.3%,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:androidworld::agent_b:unknown_share,table2,tab:main-results-A,androidworld::agent_b,unknown_share,51.2%,51.2%,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:androidworld::all:benchmark,table2,tab:main-results-A,androidworld::all,benchmark,AndroidWorld,AndroidWorld,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:androidworld::all:benchmark_conflicts,table2,tab:main-results-A,androidworld::all,benchmark_conflicts,2,2,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table2:androidworld::all:bound,table2,tab:main-results-A,androidworld::all,bound,"[15.9%, 65.9%]","[15.9%, 65.9%]",EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
