benchmark,case_unit_id,overall_system_design_audit,semantic_decision,draft_lock_and_pre_run_scope,outcome_label_boundary,official_user_goal_task,native_evaluator_oracle_semantics,state_schema_and_artifact_inventory,nonlabel_decisive_evidence,native_sfu_rules,source_support_pointers,stronger_conditions,stronger_conflict_separation,minimality_no_run_leakage,failed_review_items,failed_design_clauses,finding_count,finding_summary,stronger_condition_count,review_prompt_variant,draft_lock_integrity,review_receipt_integrity,raw_draft_changed_since_lock,draft_sha256,case_packet_sha256
terminal_bench_2_1,bn-fit-modify,需修订,revise,通过,通过,通过,需修订,通过,通过,需修订,需修订,需修订,通过,通过,native_evaluator_semantics; decision_rules_sfu; source_support_pointers; stronger_conditions,native evaluator/oracle 语义; native S/F/U 规则; source support pointers; stronger 条件的官方支持与测量 gap,4,"native_evaluator_semantics: The native fail_if rules omit pytest failures caused by CSV parsing/access errors, invalid data supplied to the KS computation, non-finite p-values, collection errors, or verifier invocation errors.; decision_rules_sfu: Without a CTRF report, established evaluator errors outside the enumerated assertions can fall through to U even though they are ordinary native failures.; source_support_pointers: The repeated pointer official/tests/test.sh::1-24 ends before the supplied pytest target and status branch.; stronger_conditions: The header-order rationale falsely says the evaluator requires from,to order, and the Y condition’s “negligible neighborhood” is not a concrete criterion.",2,base_semantic_review,True,True,False,22282c1005c582714820f26ee9f46ddcbd96ed9203394cc5e5a98017f752019b,9ab54bf542cdbee51e4faaf45c1ab2a1c87ec665bc9212c9431546417c95a2d0
deep_swe_v1_1,boa-hierarchical-evaluation-cancellation,符合,accept,通过,通过,通过,通过,通过,通过,通过,通过,通过,通过,通过,,,0,,1,base_semantic_review,True,True,False,9615ae6581f261bbfa30392368ce6cc16b197f558c75d83472e352a0e5f77f36,f876dd3ed26eb7f3679ff1fcad740e638a8256c7011595983bd4d728e1bf1c0a
terminal_bench_2_1,break-filter-js-from-html,符合,accept,通过,通过,通过,通过,通过,通过,通过,通过,通过,通过,通过,,,0,,1,base_semantic_review,True,True,False,53a32a72b4d01a36052b359b2714e9a3835c35de8dfdd738d1f125ccb7a3e9e4,4d28cdc72865222aa0cd447f54cf294098f864743e68cf37a11f67b55dd9ebdf
terminal_bench_2_1,build-cython-ext,符合,accept,通过,通过,通过,通过,通过,通过,通过,通过,通过,通过,通过,,,0,,1,base_semantic_review,True,True,False,4540039d7b81eaa04ba798777d55a78b1fc04600eaaf151d9aa48fc203e0bf90,efbcea3552b6a74b06d768d81ffa8fcb596c30b9fdb909cdb43caacb96df02bf
terminal_bench_2_1,build-pmars,需修订,revise,通过,通过,通过,需修订,通过,通过,需修订,通过,通过,通过,通过,native_evaluator_semantics; decision_rules_sfu,native evaluator/oracle 语义; native S/F/U 规则,2,"native_evaluator_semantics: The native fail_if rules enumerate assertion-level conditions but omit the released evaluator’s broader nonzero-pytest-status path, including command execution, collection, and subprocess errors.; decision_rules_sfu: A retained stderr/stdout trace could establish that pytest could not execute or returned nonzero, yet none of the current fail_if clauses assigns F unless a listed assertion fact is shown.",1,base_semantic_review,True,True,False,e93b1561d539373d2f70ec69268442979150f5ff7ba93e216b93ee2b65ea45b1,4a1583f64b4a467f1b4a8dc2fbb66fc3f5dae56f03467b5fae2839eb02b2c370
terminal_bench_2_1,build-pov-ray,需修订,revise,通过,通过,需修订,通过,通过,通过,通过,需修订,通过,通过,通过,native_user_goal; source_support_pointers,官方 user goal/task; source support pointers,2,native_user_goal: native.user_goal does not faithfully retain the instruction to find and download the archives or the stated comparison of the rendered scene against a reference image.; source_support_pointers: native.undecided_if[0] has no support field for its claims about the retained-evidence boundary and official verifier outcome.,1,base_semantic_review,True,True,False,7c90b517f080ba5656eb7a39a0892c2aea44c87c208c5a58c66686ec2e634fb0,a8e1399775fc9d90e57d7e73548b3143378379f572d459b867cde3ebe4e7729d
terminal_bench_2_1,caffe-cifar-10,需修订,revise,通过,通过,需修订,需修订,通过,通过,需修订,通过,通过,通过,通过,native_user_goal; native_evaluator_semantics; decision_rules_sfu,官方 user goal/task; native evaluator/oracle 语义; native S/F/U 规则,3,"native_user_goal: The user goal drops the explicit clone instruction and renders a one-sided accuracy constraint as potentially symmetric.; native_evaluator_semantics: The native success prose silently strengthens and abstracts the released tests, especially by treating weak literal log checks as proof of genuine exact-500 training.; decision_rules_sfu: S overclaims facts beyond the native predicates, while F does not unambiguously include all evidenced nonzero pytest outcomes such as collection or execution errors.",1,base_semantic_review,True,True,False,298dd86e77d092219ed38dab68a91ff7a2f04f7273d92cab821d7d26b39ef963,d5418b65c7f2213783cb063e34eb48df2909eabc46ee566532531e658f21a787
terminal_bench_2_1,cancel-async-tasks,需修订,revise,通过,通过,通过,通过,通过,通过,通过,通过,需修订,通过,通过,stronger_conditions,stronger 条件的官方支持与测量 gap,1,"stronger_conditions: The official instruction declares parameter and return annotations for `run_tasks`, but the released tests only import and exercise the function and never inspect its annotations. This supported, measurable noncoverage belongs in the stronger layer.",0,schema_repair_retry,True,True,False,e840ca006612947f8e4ac140d3069e6befd60be81985e1bf52f9b7812fd1cf0c,6ac9864a8daeecf4557871367147fe03f8e6b9dd579f0bcf8bf887a682d613da
deep_swe_v1_1,cattrs-partial-structuring-recovery,需修订,revise,通过,通过,通过,通过,通过,需修订,通过,通过,通过,通过,通过,decisive_post_run_evidence,决定性非标签运行证据,1,"decisive_post_run_evidence: artifacts/model.patch is labeled a decisive artifact for a condition requiring both a new branch from main and committing everything, but a base-to-HEAD patch cannot independently establish branch identity, branch creation, or that no requested work remained uncommitted.",1,base_semantic_review,True,True,False,bb4424e225a9e30b7ebd87a10b436ffe73c3771ab4bea8ed725ec1faa6e4f4c6,5754dd71177460b217f9073af06b4c4b200376dab210b7e909ba7073bce84b31
terminal_bench_2_1,chess-best-move,符合,accept,通过,通过,通过,通过,通过,通过,通过,通过,通过,通过,通过,,,0,,1,base_semantic_review,True,True,False,67678e73c276724ab3b3c43322937bcde47709504f13659587759068df6ec84e,26d1c6922ae75f6baa0c9979853809b86b66af1b99b888c25f4d96b1626f6502
terminal_bench_2_1,circuit-fibsqrt,需修订,revise,通过,通过,通过,需修订,通过,通过,需修订,通过,通过,通过,通过,native_evaluator_semantics; decision_rules_sfu,native evaluator/oracle 语义; native S/F/U 规则,2,"native_evaluator_semantics: native.fail_if does not reproduce the complete official verifier failure semantics because it recognizes only enumerated, diagnosed test causes. Retained evidence that the official pytest invocation failed or errored is sufficient for native F even if the precise cause is not retained.; decision_rules_sfu: native.undecided_if incorrectly permits U when the reason test_sqrt_fib stopped is unavailable, even if retained evidence establishes that the official check failed.",2,base_semantic_review,True,True,False,1f9de100d1a7874d84d86778f0a7bf088efff2d6468bb1145efeae51654b6b7c,9883579aa01ff356a30728264de62e00cca8f85e62c72538c186bf60509764aa
deep_swe_v1_1,clack-async-autocomplete-options,需修订,revise,通过,通过,通过,通过,通过,通过,通过,需修订,需修订,通过,通过,source_support_pointers; stronger_conditions,source support pointers; stronger 条件的官方支持与测量 gap,2,"source_support_pointers: Pointers using official/instruction.md::16-16 do not support the new-branch/commit claim, and native.user_goal’s 1-16 range omits it.; stronger_conditions: The stronger text and evidence questions establish that a commit occurred, but not that every task change was committed at the final state.",1,base_semantic_review,True,True,False,c124ed8a4a65f49a9e22657b7e33abc7e88497f87288c16c7e39353deb5eea0a,e68d3b04318a0f56a23e2a598b671ee2b63bebd971ab6f3def5ac94306752162
deep_swe_v1_1,claude-code-by-agents-recursive-delegation,符合,accept,通过,通过,通过,通过,通过,通过,通过,通过,通过,通过,通过,,,0,,1,base_semantic_review,True,True,False,93cbf0a2dfecfbaad37928ad506f3dbb592939da2a9cdc3898e6d7f88940d2ad,d4208aea452bad7b8a17e0c0731b86f954c226e3125d90c68d694d16ce02f954
deep_swe_v1_1,cliffy-config-file-parsing,需修订,revise,通过,通过,通过,通过,通过,需修订,通过,通过,需修订,通过,通过,decisive_post_run_evidence; stronger_conditions,决定性非标签运行证据; stronger 条件的官方支持与测量 gap,2,"decisive_post_run_evidence: artifacts/model.patch is labeled decisive even though its question says it only corroborates a claim that must be established by trajectory or transcript evidence. It cannot independently prove branch creation or a clean committed final worktree.; stronger_conditions: The stronger evidence questions treat a final commit after task edits as sufficient, but that does not prove that every task change was committed at the end.",1,base_semantic_review,True,True,False,8707a1f8646122b6478b197d38b318003b5f185dcd24e9841e36c4369d27e2d9,581bfffe427cba898ee0e190846fc95b194e93d701cb2629d3ce735094eb0021
terminal_bench_2_1,cobol-modernization,需修订,revise,通过,通过,通过,需修订,通过,通过,需修订,通过,通过,通过,通过,native_evaluator_semantics; decision_rules_sfu,native evaluator/oracle 语义; native S/F/U 规则,2,"native_evaluator_semantics: The released verifier selects failure for any nonzero exit from its pytest command, while the checklist limits native F to three categories of test assertion failure.; decision_rules_sfu: A decisive stderr/stdout trace showing pytest collection or execution failure would establish the verifier's failure branch, but the present SFU rules would not assign F and could incorrectly leave the record U.",1,base_semantic_review,True,True,False,1705beb4d6477f5b15d050be5f70b9fc6587093c957fc28d97c1f887a5f372cc,154f3eacbdd5cca98f5371ee645c0a156174abf721c4cf38967305efd7d7beeb
terminal_bench_2_1,code-from-image,需修订,revise,通过,通过,通过,需修订,通过,通过,需修订,需修订,通过,通过,通过,native_evaluator_semantics; decision_rules_sfu; source_support_pointers,native evaluator/oracle 语义; native S/F/U 规则; source support pointers,3,"native_evaluator_semantics: The native rules omit verifier failures caused by pytest errors, collection/setup failures, and other established nonzero exits of the exact `uvx ... pytest` command.; decision_rules_sfu: The current U rule can move an established benchmark-counted nonzero verifier execution to U merely because both individual test outcomes were not produced.; source_support_pointers: The `test.sh` citation contradicts the blanket interruption-to-U rule because the script’s `$?` branch counts an established interrupted/nonzero pytest command as failure.",1,base_semantic_review,True,True,False,8ba4c4e6d7ef495742e43a12d33bfdad8e760367c95a2e3b389de7ff321ce412,49093cf2d8a15f2c44c9202556192e99bf8eb8651ef554467a42169d60dc25fa
terminal_bench_2_1,compile-compcert,需修订,revise,通过,通过,通过,通过,通过,需修订,需修订,通过,通过,通过,通过,decisive_post_run_evidence; decision_rules_sfu,决定性非标签运行证据; native S/F/U 规则,2,"decisive_post_run_evidence: verifier/test-stderr.txt is designated decisive even though the verifier sources do not establish that pytest node statuses or assertion failures are reported there.; decision_rules_sfu: The U rule applies when any official check is unresolved, including cases where a different check is conclusively failed and therefore establishes native F.",1,base_semantic_review,True,True,False,ae036bfee69846b3e34fb8e34a9aa4aeee16fa27951ebe85351abb2b162b94b7,c5c0d3b544174409e7f653332c61ba94d1aceb9b0e54db78377fb00f3e1dc294
terminal_bench_2_1,configure-git-webserver,需修订,revise,通过,通过,通过,需修订,通过,需修订,需修订,需修订,需修订,通过,通过,native_evaluator_semantics; decisive_post_run_evidence; decision_rules_sfu; source_support_pointers; stronger_conditions,native evaluator/oracle 语义; 决定性非标签运行证据; native S/F/U 规则; source support pointers; stronger 条件的官方支持与测量 gap,5,native_evaluator_semantics: Native success and failure incorrectly depend on successful clone/push execution rather than the exact pytest substring assertion and pytest command status.; decisive_post_run_evidence: The proposed verifier-stdout question assumes visibility into output that `test_outputs.py` captures and does not emit.; decision_rules_sfu: An explicit clone/push error is not sufficient native F under the released assertion.; source_support_pointers: The cited evaluator sources contradict rather than support the claims about detailed stdout visibility and independently dispositive clone/push failures.; stronger_conditions: The empty stronger layer omits the official end-to-end workflow requirement that the native assertion does not fully operationalize.,0,schema_repair_retry,True,True,False,ed32cecc0db9e00584231b297c1c2ddd9429b20a2ee3218ec94066564c801992,aa46e161a80d6da4c7c73bb1634568cfa00cb1b3297cf449f902d9a01b0e01da
terminal_bench_2_1,constraints-scheduling,符合,accept,通过,通过,通过,通过,通过,通过,通过,通过,通过,通过,通过,,,0,,1,base_semantic_review,True,True,False,4cf9fc21ca01a17e2a5b085ae59975ce9948fa07201f11a47a2c681386338ba1,3d2588e6bc6a90b12f9f0f43a98c71453dc6eac094bafdf075c9f1d2e951e29a
terminal_bench_2_1,count-dataset-tokens,需修订,revise,通过,通过,通过,需修订,通过,需修订,需修订,需修订,通过,通过,通过,native_evaluator_semantics; decisive_post_run_evidence; decision_rules_sfu; source_support_pointers,native evaluator/oracle 语义; 决定性非标签运行证据; native S/F/U 规则; source support pointers,4,"native_evaluator_semantics: Native S/F rules substitute retained answer-file content for the official execution outcome and fail to cover other conclusively evidenced nonzero `uvx`/pytest outcomes handled by `test.sh`.; decisive_post_run_evidence: A retained answer-file copy establishes only its content, not the actual verifier result, and the workdir guard is printed to stdout rather than stderr.; decision_rules_sfu: The current rules can assign S or F without verifier-execution evidence and can assign U to an evidenced benchmark-counted nonzero verifier outcome.; source_support_pointers: The cited sources contradict the stderr guard claim and support only the test’s content predicate, not the inference that an independently retained file copy proves the executed verifier result.",2,base_semantic_review,True,True,False,3dce01b08a8666ff5a12dd3f587b34f1cc3d4abbb561b8f3f701d24746116b4d,91638861afdb04d3be68b50cce0684fe07d6f5c51d9fcc309097d63e49a10b69
terminal_bench_2_1,crack-7z-hash,需修订,revise,通过,通过,通过,需修订,通过,通过,需修订,需修订,通过,通过,通过,native_evaluator_semantics; decision_rules_sfu; source_support_pointers,native evaluator/oracle 语义; native S/F/U 规则; source support pointers,3,"native_evaluator_semantics: Native F does not reproduce the verifier’s complete failure semantics: `test.sh` selects failure whenever the pytest command status is nonzero, not only when either named assertion is reported as failed.; decision_rules_sfu: Because F is limited to two explicit test failures, retained evidence of another nonzero official verifier outcome may incorrectly fall under U.; source_support_pointers: The repeated `case_packet.md::52-63` pointer does not reach the packet entries for `verifier/ctrf.json`, `verifier/test-stdout.txt`, and `verifier/test-stderr.txt`.",1,base_semantic_review,True,True,False,1793952e0ed1cc623af3ed5aa276ed660d2c7d023f2fe9d11f2ce317df78d93d,88ff34f7a0c8d7d73e7cd49f4a0aca4ada7b6bf20189153a6a463591e89fd95f
deep_swe_v1_1,csstree-shorthand-expansion-compression,符合,accept,通过,通过,通过,通过,通过,通过,通过,通过,通过,通过,通过,,,0,,1,base_semantic_review,True,True,False,220ab9abded4e86791d4e55be7ec357e37cfa5d06cb49e68d39a5798bfc7b450,0493fbf928b4f09c2d416df8d3a86fdeb2858715a962ff5cef460ddb554c2f87
terminal_bench_2_1,custom-memory-heap-crash,需修订,revise,通过,通过,通过,需修订,通过,通过,需修订,需修订,通过,通过,通过,native_evaluator_semantics; decision_rules_sfu; source_support_pointers,native evaluator/oracle 语义; native S/F/U 规则; source support pointers,3,"native_evaluator_semantics: Native success and failure are expressed as six individual test-status predicates rather than the exact verifier predicate: zero versus nonzero exit from the configured pytest command.; decision_rules_sfu: The current rules can move a benchmark-counted zero-exit outcome to U unless all six tests are recorded as passed, and they omit nonzero verifier outcomes not represented as an individual test failure or error.; source_support_pointers: The source cited for the all-six-passed claim actually implements a shell exit-status branch and therefore does not support that stronger claim.",1,base_semantic_review,True,True,False,bc1a4caed8cfa73393e2f56805f2828ee6671bd575c6307fc83d1bd4ac9a3b94,a7a81a8aca4db12d294b34df637664e2234fc4df02d57661d1a03b664c0d7ac3
deep_swe_v1_1,dasel-html-document-format,需修订,revise,通过,通过,通过,需修订,通过,通过,需修订,通过,通过,通过,通过,native_evaluator_semantics; decision_rules_sfu,native evaluator/oracle 语义; native S/F/U 规则,2,"native_evaluator_semantics: Native fail_if is limited to non-passing synthesized CTRF rows, but the released grader also assigns failure when a submitted model.patch cannot be applied and exits before creating verifier/ctrf.json.; decision_rules_sfu: The blanket incomplete-CTRF U rule moves an evidenced patch-application failure to U even when verifier/test-stdout.txt directly records that released-grader failure.",1,base_semantic_review,True,True,False,1218cef724275485da5c38e2c7c2f6752bcaa6839c2db7fdbebda32c720e6fcd,8ff2d53232df8daded130616a62e9e5e2d84c7f6318fe5b968b54eb8bf57fa04
deep_swe_v1_1,dateutil-rfc5545-timezone-interop,需修订,revise,通过,通过,通过,通过,通过,需修订,通过,需修订,通过,通过,通过,decisive_post_run_evidence; source_support_pointers,决定性非标签运行证据; source support pointers,2,decisive_post_run_evidence: artifacts/model.patch is listed as decisive for the workflow condition even though its own question concedes that it cannot prove branch origin or a fully committed final worktree.; source_support_pointers: official/instruction.md::1-21 does not reach the final IMPORTANT instruction requiring a new branch from main and committing everything.,1,base_semantic_review,True,True,False,4050e44815fe21d40d31c90bd85ded828c950231689496f096cdfb15cd3e82e2,c4bb72658134574133e2c54744db394db633bea044052051f03c5fe137e5fa84
terminal_bench_2_1,db-wal-recovery,需修订,revise,通过,通过,通过,需修订,通过,需修订,需修订,需修订,需修订,通过,通过,native_evaluator_semantics; decisive_post_run_evidence; decision_rules_sfu; source_support_pointers; stronger_conditions,native evaluator/oracle 语义; 决定性非标签运行证据; native S/F/U 规则; source support pointers; stronger 条件的官方支持与测量 gap,5,"native_evaluator_semantics: Native success and failure are stated only through per-test outcomes or direct output predicates, omitting that test.sh maps the pytest process exit status to the released result.; decisive_post_run_evidence: Standalone agent stdout cannot independently establish that SQLite read through a repaired WAL rather than that expected data was produced by another route.; decision_rules_sfu: The U rule requires insufficient evidence to evaluate every predicate, even though partial evidence can conclusively demonstrate one predicate violation and therefore native failure.; source_support_pointers: The cited line ranges exclude portions of the official sources needed for the associated claims.; stronger_conditions: Although the stronger requirement and evaluator gap are valid, one named artifact cannot assess the causal WAL-repair fact it is assigned.",1,base_semantic_review,True,True,False,d3db19a9b212a536549b14d91934ef4be6acbf41c2040092d6567a35087d32db,df2e0d261c9898f6b2cc61ac32a2532adcafd08591f73d419c5517e6103a3f40
terminal_bench_2_1,distribution-search,符合,accept,通过,通过,通过,通过,通过,通过,通过,通过,通过,通过,通过,,,0,,1,base_semantic_review,True,True,False,95cc70ade786854209594c565119da27ca4472dfb10f5c02ccd6d2683af77e47,6fe0450cb8cc75389bc310309868c14f66b64945f65eead8c3e90b0320356e44
terminal_bench_2_1,dna-assembly,需修订,revise,通过,通过,通过,需修订,通过,通过,需修订,需修订,通过,通过,通过,native_evaluator_semantics; decision_rules_sfu; source_support_pointers,native evaluator/oracle 语义; native S/F/U 规则; source support pointers,3,"native_evaluator_semantics: native.fail_if[2] adds an assertion-detail requirement that is absent from the released test criterion.; decision_rules_sfu: A failed test-node status without assertion detail currently satisfies neither fail_if nor undecided_if, even though it establishes native failure.; source_support_pointers: The cited instruction range 1-15 does not cover the filename, header, blank-line, or NEB/BsaI claims it is used to support.",1,base_semantic_review,True,True,False,77d6ecac00ac0af8381fade5cfede018ea252e8d55a3482c1798be3e64b14982,e75a0390c2097e941f473e798f8031b70156b99c2b3b992320bd3ce2ce7c5583
terminal_bench_2_1,dna-insert,符合,accept,通过,通过,通过,通过,通过,通过,通过,通过,通过,通过,通过,,,0,,1,base_semantic_review,True,True,False,d4842eb45a0f75101b327f4c0ea4df7d17b7602c335fa38095d63ba1853f4c87,b6aadc825df1d2dba53b0b90060cb28859f94508d9a592e73811584539e1717c
