benchmark,case_unit_id,status,decision,failed_item_ids,finding_count,revision_valid,infra_errors
deep_swe_v1_1,clack-async-autocomplete-options,completed,revise,source_support_pointers;stronger_conditions,2,False,
deep_swe_v1_1,claude-code-by-agents-recursive-delegation,completed,accept,,0,,
deep_swe_v1_1,cliffy-config-file-parsing,completed,revise,decisive_post_run_evidence;stronger_conditions,2,True,
terminal_bench_2_1,cobol-modernization,completed,revise,native_evaluator_semantics;decision_rules_sfu,2,False,
terminal_bench_2_1,code-from-image,completed,revise,native_evaluator_semantics;decision_rules_sfu;source_support_pointers,3,True,
terminal_bench_2_1,compile-compcert,completed,revise,decisive_post_run_evidence;decision_rules_sfu,2,True,
terminal_bench_2_1,configure-git-webserver,completed,revise,native_evaluator_semantics;decisive_post_run_evidence;decision_rules_sfu;source_support_pointers;stronger_conditions,5,False,
terminal_bench_2_1,constraints-scheduling,completed,accept,,0,,
terminal_bench_2_1,count-dataset-tokens,completed,revise,native_evaluator_semantics;decisive_post_run_evidence;decision_rules_sfu;source_support_pointers,4,True,
terminal_bench_2_1,crack-7z-hash,completed,revise,native_evaluator_semantics;decision_rules_sfu;source_support_pointers,3,False,
deep_swe_v1_1,csstree-shorthand-expansion-compression,completed,accept,,0,,
terminal_bench_2_1,custom-memory-heap-crash,completed,revise,native_evaluator_semantics;decision_rules_sfu;source_support_pointers,3,True,
deep_swe_v1_1,dasel-html-document-format,completed,revise,native_evaluator_semantics;decision_rules_sfu,2,True,
deep_swe_v1_1,dateutil-rfc5545-timezone-interop,completed,revise,decisive_post_run_evidence;source_support_pointers,2,True,
terminal_bench_2_1,db-wal-recovery,completed,revise,native_evaluator_semantics;decisive_post_run_evidence;decision_rules_sfu;source_support_pointers;stronger_conditions,5,False,
terminal_bench_2_1,distribution-search,completed,accept,,0,,
terminal_bench_2_1,dna-assembly,completed,revise,native_evaluator_semantics;decision_rules_sfu;source_support_pointers,3,False,
terminal_bench_2_1,dna-insert,completed,accept,,0,,
deep_swe_v1_1,drizzle-orm-window-function-builders,completed,revise,stronger_conditions,1,False,
deep_swe_v1_1,dynamodb-toolbox-conditional-attribute-requirements,completed,revise,decisive_post_run_evidence;stronger_conditions,2,False,
deep_swe_v1_1,dynamodb-toolbox-lazy-recursive-schemas,completed,revise,native_user_goal;decisive_post_run_evidence;stronger_conditions,3,False,
deep_swe_v1_1,effect-sse-httpapi-streaming,completed,accept,,0,,
deep_swe_v1_1,eicrud-keyset-pagination-cursor,completed,accept,,0,,
deep_swe_v1_1,etree-xml-diff-patch,completed,accept,,0,,
deep_swe_v1_1,expr-try-catch-errors,completed,revise,decisive_post_run_evidence;source_support_pointers;stronger_conditions,3,False,
terminal_bench_2_1,extract-elf,completed,revise,native_evaluator_semantics;decisive_post_run_evidence;decision_rules_sfu,4,True,
terminal_bench_2_1,extract-moves-from-video,completed,revise,native_evaluator_semantics;decision_rules_sfu,2,False,
deep_swe_v1_1,fastapi-deprecation-response-headers,completed,revise,native_evaluator_semantics;source_support_pointers,2,False,
deep_swe_v1_1,fastapi-implicit-head-options,completed,accept,,0,,
deep_swe_v1_1,fd-deterministic-multi-key-sorting,completed,accept,,0,,
terminal_bench_2_1,feal-differential-cryptanalysis,completed,revise,native_user_goal;native_evaluator_semantics;decision_rules_sfu;stronger_conditions,4,False,
terminal_bench_2_1,feal-linear-cryptanalysis,completed,accept,,0,,
terminal_bench_2_1,filter-js-from-html,completed,accept,,0,,
terminal_bench_2_1,financial-document-processor,completed,accept,,0,,
terminal_bench_2_1,fix-code-vulnerability,completed,revise,native_evaluator_semantics;decisive_post_run_evidence;decision_rules_sfu;source_support_pointers,4,False,
terminal_bench_2_1,fix-git,completed,accept,,0,,
terminal_bench_2_1,fix-ocaml-gc,completed,revise,native_evaluator_semantics;decisive_post_run_evidence;decision_rules_sfu,3,False,
terminal_bench_2_1,gcode-to-text,completed,accept,,0,,
deep_swe_v1_1,geo-shapeindex-serialization,completed,revise,native_user_goal;decisive_post_run_evidence;source_support_pointers,3,False,
terminal_bench_2_1,git-leak-recovery,completed,accept,,0,,
terminal_bench_2_1,git-multibranch,completed,revise,native_evaluator_semantics;decisive_post_run_evidence;decision_rules_sfu;source_support_pointers,4,False,
deep_swe_v1_1,go-critic-doc-link-checker,completed,revise,native_evaluator_semantics;decisive_post_run_evidence;decision_rules_sfu;source_support_pointers,4,False,
deep_swe_v1_1,go-genai-streamed-function-args,completed,accept,,0,,
deep_swe_v1_1,go-git-worktree-merge-conflicts,completed,revise,native_user_goal,1,True,
deep_swe_v1_1,goreleaser-retry-publish-auditing,completed,revise,native_user_goal;decisive_post_run_evidence;source_support_pointers;stronger_conditions,4,False,
terminal_bench_2_1,gpt2-codegolf,completed,revise,decisive_post_run_evidence;source_support_pointers,2,True,
deep_swe_v1_1,gql-incremental-graphql-delivery,completed,accept,,0,,
deep_swe_v1_1,happy-dom-abort-pending-body-reads,completed,accept,,0,,
deep_swe_v1_1,happy-dom-deterministic-intersectionobserver,completed,revise,decisive_post_run_evidence;stronger_conditions,2,False,
terminal_bench_2_1,headless-terminal,completed,revise,native_user_goal;native_evaluator_semantics;decision_rules_sfu;stronger_conditions,4,True,
deep_swe_v1_1,helm-array-merge-strategies,completed,revise,source_support_pointers,1,False,
deep_swe_v1_1,helm-unified-manifest-stream,completed,revise,native_evaluator_semantics;decisive_post_run_evidence;decision_rules_sfu,3,True,
terminal_bench_2_1,hf-model-inference,completed,revise,native_evaluator_semantics;decision_rules_sfu,2,False,
deep_swe_v1_1,httpx-deterministic-cookie-store,completed,revise,decisive_post_run_evidence;stronger_conditions,2,True,
deep_swe_v1_1,httpx-multipart-response-parsing,completed,accept,,0,,
deep_swe_v1_1,httpx-streaming-json-iteration,completed,accept,,0,,
deep_swe_v1_1,igel-persist-feature-schema,completed,accept,,0,,
deep_swe_v1_1,ink-grid-box-layout,completed,revise,decision_rules_sfu,1,True,
terminal_bench_2_1,install-windows-3.11,completed,revise,native_user_goal;native_evaluator_semantics;decision_rules_sfu;source_support_pointers;stronger_conditions,5,False,
deep_swe_v1_1,ipython-session-bundle-replay,completed,accept,,0,,
deep_swe_v1_1,katex-multicolumn-array-spans,completed,revise,decisive_post_run_evidence;decision_rules_sfu,2,True,
deep_swe_v1_1,kcp-go-multiplexed-kcp-streams,completed,revise,decisive_post_run_evidence;decision_rules_sfu;source_support_pointers,3,False,
deep_swe_v1_1,kea-atomic-signal-selectors,completed,accept,,0,,
deep_swe_v1_1,kgateway-consistent-hash-policy,completed,revise,decisive_post_run_evidence;stronger_conditions,2,True,
deep_swe_v1_1,kombu-single-active-consumer-priority,completed,revise,decisive_post_run_evidence;decision_rules_sfu;source_support_pointers,3,False,
deep_swe_v1_1,kombu-virtual-queue-dead-lettering,completed,accept,,0,,
deep_swe_v1_1,koota-composite-trait-aspects,completed,accept,,0,,
deep_swe_v1_1,koota-deferred-mutation-buffer,completed,revise,native_user_goal;decisive_post_run_evidence;source_support_pointers;stronger_conditions,4,False,
deep_swe_v1_1,koota-entity-snapshot-rollback,completed,accept,,0,,
deep_swe_v1_1,koota-pair-relation-tracking,completed,revise,decisive_post_run_evidence,1,True,
deep_swe_v1_1,koota-query-predicates,completed,revise,decisive_post_run_evidence,1,False,
terminal_bench_2_1,kv-store-grpc,completed,revise,native_evaluator_semantics;decision_rules_sfu,2,True,
deep_swe_v1_1,kysely-window-grouping-helpers,completed,revise,decisive_post_run_evidence;source_support_pointers,2,False,
deep_swe_v1_1,langchain-request-coalescing,completed,revise,decisive_post_run_evidence;decision_rules_sfu;stronger_conditions,3,True,
terminal_bench_2_1,large-scale-text-editing,completed,revise,native_user_goal;native_evaluator_semantics;decision_rules_sfu;source_support_pointers,4,True,
terminal_bench_2_1,largest-eigenval,completed,revise,decision_rules_sfu;stronger_conditions,2,False,
terminal_bench_2_1,llm-inference-batching-scheduler,completed,revise,native_evaluator_semantics;decision_rules_sfu;source_support_pointers,3,False,
terminal_bench_2_1,log-summary-date-ranges,completed,accept,,0,,
terminal_bench_2_1,mailman,completed,revise,native_user_goal;stronger_conditions,2,True,
terminal_bench_2_1,make-doom-for-mips,completed,revise,native_evaluator_semantics;decision_rules_sfu;stronger_conditions,3,False,
terminal_bench_2_1,make-mips-interpreter,completed,revise,decisive_post_run_evidence;stronger_conditions,2,True,
deep_swe_v1_1,mashumaro-flattened-dataclass-fields,completed,accept,,0,,
terminal_bench_2_1,mcmc-sampling-stan,completed,revise,native_evaluator_semantics;decisive_post_run_evidence;decision_rules_sfu;source_support_pointers,4,False,
terminal_bench_2_1,merge-diff-arc-agi-task,completed,accept,,0,,
deep_swe_v1_1,meriyah-explicit-resource-declarations,completed,accept,,0,,
deep_swe_v1_1,mnamer-daemon-watch-lifecycle,completed,revise,native_evaluator_semantics;decisive_post_run_evidence;decision_rules_sfu,3,False,
deep_swe_v1_1,mobly-grouped-test-barriers,completed,revise,decisive_post_run_evidence;stronger_conditions,2,True,
terminal_bench_2_1,model-extraction-relu-logits,completed,accept,,0,,
terminal_bench_2_1,modernize-scientific-stack,completed,revise,native_user_goal;native_evaluator_semantics;decision_rules_sfu;stronger_conditions,4,False,
terminal_bench_2_1,mteb-leaderboard,completed,revise,native_evaluator_semantics;decision_rules_sfu,2,True,
terminal_bench_2_1,mteb-retrieve,completed,revise,source_support_pointers,1,False,
terminal_bench_2_1,multi-source-data-merger,completed,revise,native_evaluator_semantics;decision_rules_sfu;stronger_conditions,3,False,
deep_swe_v1_1,narwhals-rolling-window-suite,completed,revise,decisive_post_run_evidence;source_support_pointers;stronger_conditions,3,False,
terminal_bench_2_1,nginx-request-logging,completed,revise,stronger_conditions,1,True,
deep_swe_v1_1,numba-stencil-boundary-modes,completed,revise,native_user_goal;decisive_post_run_evidence;decision_rules_sfu;source_support_pointers;stronger_conditions,5,False,
deep_swe_v1_1,obsidian-linter-auto-table-of-contents,completed,revise,decisive_post_run_evidence,1,True,
deep_swe_v1_1,obsidian-linter-link-format-conversion,completed,revise,decisive_post_run_evidence;stronger_conditions,2,True,
deep_swe_v1_1,obsidian-linter-scoped-ignore-markers,completed,revise,decisive_post_run_evidence,1,True,
deep_swe_v1_1,ofetch-per-origin-circuit-breaker,completed,revise,native_user_goal;native_evaluator_semantics;decisive_post_run_evidence;decision_rules_sfu,4,False,
deep_swe_v1_1,onedump-dump-encryption-pipeline,completed,revise,decisive_post_run_evidence,1,True,
deep_swe_v1_1,opa-rego-rule-profiling,completed,revise,decisive_post_run_evidence;stronger_conditions,2,True,
deep_swe_v1_1,opa-template-string-reconstruction,completed,accept,,0,,
terminal_bench_2_1,openssl-selfsigned-cert,completed,revise,native_user_goal;stronger_conditions,2,False,
deep_swe_v1_1,optique-conditional-option-dependencies,completed,accept,,0,,
terminal_bench_2_1,overfull-hbox,completed,revise,native_evaluator_semantics;source_support_pointers;stronger_conditions,3,False,
deep_swe_v1_1,oxvg-structural-selector-preservation,completed,revise,decisive_post_run_evidence;decision_rules_sfu;stronger_conditions,3,False,
deep_swe_v1_1,participle-grammar-conflict-analysis,completed,accept,,0,,
terminal_bench_2_1,password-recovery,completed,revise,native_evaluator_semantics;decision_rules_sfu;source_support_pointers;stronger_conditions,4,False,
terminal_bench_2_1,path-tracing,completed,revise,native_evaluator_semantics;decision_rules_sfu;source_support_pointers;stronger_conditions,4,True,
terminal_bench_2_1,path-tracing-reverse,completed,revise,native_evaluator_semantics;decision_rules_sfu;source_support_pointers;stronger_conditions,4,True,
deep_swe_v1_1,pebble-durability-wait-apis,completed,accept,,0,,
deep_swe_v1_1,pest-character-class-coalescing,completed,revise,native_evaluator_semantics;decisive_post_run_evidence;stronger_conditions,3,False,
terminal_bench_2_1,polyglot-c-py,completed,accept,,0,,
terminal_bench_2_1,polyglot-rust-c,completed,revise,native_user_goal;native_evaluator_semantics;decisive_post_run_evidence,4,False,
terminal_bench_2_1,portfolio-optimization,completed,revise,native_evaluator_semantics;decision_rules_sfu,2,False,
deep_swe_v1_1,prometheus-transactional-reload-status,completed,revise,native_user_goal;decisive_post_run_evidence;decision_rules_sfu;stronger_conditions,4,False,
deep_swe_v1_1,prometheus-typed-label-sorting,completed,accept,,0,,
terminal_bench_2_1,protein-assembly,completed,revise,native_user_goal;native_evaluator_semantics;stronger_conditions,3,False,
terminal_bench_2_1,prove-plus-comm,completed,accept,,0,,
deep_swe_v1_1,psd-tools-blend-range-api,completed,accept,,0,,
deep_swe_v1_1,pwntools-tube-multiplexing,completed,revise,native_evaluator_semantics;decisive_post_run_evidence;decision_rules_sfu,3,False,
terminal_bench_2_1,pypi-server,completed,accept,,0,,
deep_swe_v1_1,python-statemachine-state-data-scoping,completed,accept,,0,,
terminal_bench_2_1,pytorch-model-cli,completed,revise,native_user_goal;source_support_pointers;stronger_conditions,3,False,
terminal_bench_2_1,pytorch-model-recovery,completed,accept,,0,,
terminal_bench_2_1,qemu-alpine-ssh,completed,accept,,0,,
terminal_bench_2_1,qemu-startup,completed,revise,native_evaluator_semantics;decision_rules_sfu;source_support_pointers;stronger_conditions,4,True,
terminal_bench_2_1,query-optimize,completed,revise,native_user_goal,1,True,
deep_swe_v1_1,query-persist-restored-query-state,completed,accept,,0,,
deep_swe_v1_1,quill-shared-toolbar-focus,completed,revise,decisive_post_run_evidence,1,True,
terminal_bench_2_1,raman-fitting,completed,revise,native_evaluator_semantics;stronger_conditions,2,True,
terminal_bench_2_1,regex-chess,completed,revise,native_evaluator_semantics;decision_rules_sfu;stronger_conditions,3,True,
terminal_bench_2_1,regex-log,completed,accept,,0,,
terminal_bench_2_1,reshard-c4-data,completed,revise,native_user_goal;native_evaluator_semantics;decisive_post_run_evidence;decision_rules_sfu;source_support_pointers;stronger_conditions,6,True,
deep_swe_v1_1,returns-validated-error-accumulation,completed,accept,,0,,
terminal_bench_2_1,rstan-to-pystan,completed,revise,native_evaluator_semantics;decision_rules_sfu;stronger_conditions,3,False,
terminal_bench_2_1,sam-cell-seg,completed,revise,native_user_goal;native_evaluator_semantics;decisive_post_run_evidence;decision_rules_sfu;stronger_conditions,6,False,
terminal_bench_2_1,sanitize-git-repo,completed,revise,native_user_goal;native_evaluator_semantics;decision_rules_sfu,3,True,
deep_swe_v1_1,scc-bounded-memory-spilling,completed,revise,native_user_goal;decisive_post_run_evidence;decision_rules_sfu;stronger_conditions,4,True,
terminal_bench_2_1,schemelike-metacircular-eval,completed,revise,native_evaluator_semantics;decision_rules_sfu;source_support_pointers,3,True,
deep_swe_v1_1,scriggo-method-declarations,completed,revise,native_user_goal;decisive_post_run_evidence,2,False,
deep_swe_v1_1,skrub-duration-encoding,completed,revise,native_evaluator_semantics;decisive_post_run_evidence;decision_rules_sfu;stronger_conditions,4,True,
terminal_bench_2_1,sparql-university,completed,revise,native_user_goal;native_evaluator_semantics;decision_rules_sfu,3,True,
deep_swe_v1_1,sql-formatter-bigquery-pipe-formatting,completed,accept,,0,,
deep_swe_v1_1,sqlfmt-create-table-ddl-formatting,completed,accept,,0,,
terminal_bench_2_1,sqlite-db-truncate,completed,revise,native_user_goal;native_evaluator_semantics;decision_rules_sfu,3,False,
deep_swe_v1_1,sqlite-utils-safe-import-checkpoints,completed,revise,native_evaluator_semantics;decisive_post_run_evidence;decision_rules_sfu;source_support_pointers;stronger_conditions,5,False,
terminal_bench_2_1,sqlite-with-gcov,completed,revise,native_evaluator_semantics;decisive_post_run_evidence;decision_rules_sfu,3,True,
deep_swe_v1_1,superjson-error-stack-serialization,completed,revise,decisive_post_run_evidence;stronger_conditions,2,False,
deep_swe_v1_1,task-task-graph-export,completed,revise,decisive_post_run_evidence,1,True,
deep_swe_v1_1,tengo-callable-instance-isolation,completed,revise,native_user_goal;decisive_post_run_evidence;source_support_pointers,3,False,
deep_swe_v1_1,tengo-destructuring-bindings,completed,revise,decisive_post_run_evidence,1,True,
deep_swe_v1_1,termenv-preserve-ansi-resets,completed,accept,,0,,
deep_swe_v1_1,testem-bail-on-test-failure,completed,accept,,0,,
deep_swe_v1_1,testem-per-launcher-reports,completed,revise,native_evaluator_semantics;decisive_post_run_evidence;decision_rules_sfu;source_support_pointers,4,False,
deep_swe_v1_1,textual-kitty-key-phases,completed,revise,native_evaluator_semantics;decision_rules_sfu;source_support_pointers,3,False,
deep_swe_v1_1,textual-richlog-follow-state,completed,accept,,0,,
deep_swe_v1_1,tomlkit-toml-table-converters,completed,revise,decision_rules_sfu,1,False,
terminal_bench_2_1,torch-pipeline-parallelism,completed,revise,native_evaluator_semantics;decision_rules_sfu,2,False,
terminal_bench_2_1,torch-tensor-parallelism,completed,revise,native_user_goal;stronger_conditions,2,False,
terminal_bench_2_1,train-fasttext,completed,revise,native_user_goal;native_evaluator_semantics;decision_rules_sfu;source_support_pointers,4,False,
deep_swe_v1_1,true-myth-iterable-collection-combinators,completed,accept,,0,,
deep_swe_v1_1,ts-pattern-match-each,completed,revise,decision_rules_sfu,1,True,
terminal_bench_2_1,tune-mjcf,completed,revise,native_user_goal;native_evaluator_semantics;decision_rules_sfu,3,False,
deep_swe_v1_1,updo-policy-alerting,completed,revise,source_support_pointers,1,True,
deep_swe_v1_1,valibot-recursive-schema-composition,completed,accept,,0,,
terminal_bench_2_1,video-processing,completed,revise,native_evaluator_semantics;decision_rules_sfu;source_support_pointers,3,False,
deep_swe_v1_1,vitest-duration-sharding,completed,revise,decisive_post_run_evidence;stronger_conditions,2,False,
terminal_bench_2_1,vulnerable-secret,completed,accept,,0,,
deep_swe_v1_1,vulture-persistent-analysis-cache,completed,accept,,0,,
deep_swe_v1_1,wasmi-trap-coredumps,completed,revise,decisive_post_run_evidence;source_support_pointers,2,False,
deep_swe_v1_1,wazero-multi-module-snapshots,completed,accept,,0,,
terminal_bench_2_1,winning-avg-corewars,completed,accept,,0,,
terminal_bench_2_1,write-compressor,completed,revise,native_evaluator_semantics;decision_rules_sfu;source_support_pointers,3,False,
deep_swe_v1_1,yaegi-go-embed-directives,completed,revise,decisive_post_run_evidence;decision_rules_sfu;stronger_conditions,3,False,
deep_swe_v1_1,yjs-map-conflict-detection,completed,accept,,0,,
deep_swe_v1_1,ytt-jsonpath-query-api,completed,revise,native_evaluator_semantics;decision_rules_sfu,2,False,
